dataset_id,split_family,policy,metric,unit_cols,n_units,observed,ci_low,ci_high
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.05,balanced_accuracy,split_id|subject_id|session|day,130,0.617857142857143,0.5863518772893773,0.6484478021978021
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.10,balanced_accuracy,split_id|subject_id|session|day,130,0.6416208791208791,0.6095135073260074,0.6732337454212454
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.15,balanced_accuracy,split_id|subject_id|session|day,130,0.6558150183150183,0.6213759157509158,0.6891563644688643
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.20,balanced_accuracy,split_id|subject_id|session|day,130,0.6653846153846154,0.6304933608058609,0.7001510989010988
cemhsey,cemhsey_forward_day_logo,assist_only,balanced_accuracy,split_id|subject_id|session|day,130,0.6599816849816849,0.6249416208791209,0.6957543498168497
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.25,balanced_accuracy,split_id|subject_id|session|day,130,0.6476648351648352,0.6139171245421244,0.6810496794871795
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.50,balanced_accuracy,split_id|subject_id|session|day,130,0.6846611721611722,0.6489377289377289,0.7203800366300366
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.75,balanced_accuracy,split_id|subject_id|session|day,130,0.6855311355311355,0.6499004120879122,0.7216174450549451
cemhsey,cemhsey_forward_day_logo,selective_prediction,balanced_accuracy,split_id|subject_id|session|day,130,0.5976495726495727,0.5669257478632479,0.6283772130647131
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.02,balanced_accuracy,split_id|subject_id|session|day,130,0.6014652014652013,0.5714720695970696,0.631095467032967
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.05,balanced_accuracy,split_id|subject_id|session|day,130,0.6164835164835164,0.5851167582417582,0.6469345238095239
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.10,balanced_accuracy,split_id|subject_id|session|day,130,0.6400183150183151,0.6073717948717948,0.671481227106227
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.15,balanced_accuracy,split_id|subject_id|session|day,130,0.6547161172161172,0.6202369505494506,0.6877827380952379
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.20,balanced_accuracy,split_id|subject_id|session|day,130,0.66492673992674,0.6299416208791209,0.6997367216117216
cemhsey,cemhsey_forward_day_logo,user_only,balanced_accuracy,split_id|subject_id|session|day,130,0.59010989010989,0.5600709706959707,0.6196451465201467
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.02,ece,split_id|subject_id|session|day,130,0.19275283107669555,0.18517731499131593,0.20043764627158964
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.05,ece,split_id|subject_id|session|day,130,0.18395205075494958,0.17637036309390547,0.1913815781024024
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.10,ece,split_id|subject_id|session|day,130,0.17827561036249953,0.17019477049113488,0.18615852220541781
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.15,ece,split_id|subject_id|session|day,130,0.1804918820673868,0.17043776446592657,0.19029760779211977
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.20,ece,split_id|subject_id|session|day,130,0.18916560094689033,0.17776114272135937,0.20055486307111817
cemhsey,cemhsey_forward_day_logo,assist_only,ece,split_id|subject_id|session|day,130,0.26566742508666197,0.24763028018131716,0.2847072505062297
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.25,ece,split_id|subject_id|session|day,130,0.25145296906604575,0.23441563878283628,0.2688848823338076
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.50,ece,split_id|subject_id|session|day,130,0.2878403525570021,0.26802246988301304,0.30689572022200656
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.75,ece,split_id|subject_id|session|day,130,0.28972389244154,0.2695338982516138,0.3098922695110326
cemhsey,cemhsey_forward_day_logo,selective_prediction,ece,split_id|subject_id|session|day,130,0.1921844601546746,0.18049007774507658,0.20459960064522628
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.02,ece,split_id|subject_id|session|day,130,0.19806349165553175,0.18561988027618176,0.21037497954657494
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.05,ece,split_id|subject_id|session|day,130,0.20165782487337675,0.18857401314663996,0.2143322263763433
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.10,ece,split_id|subject_id|session|day,130,0.207985330002389,0.1944730296984932,0.22156651996210328
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.15,ece,split_id|subject_id|session|day,130,0.2135300200283108,0.1993855304433488,0.22737867433855294
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.20,ece,split_id|subject_id|session|day,130,0.21718620408275882,0.20270462210791365,0.23184647875305858
cemhsey,cemhsey_forward_day_logo,user_only,ece,split_id|subject_id|session|day,130,0.1925617117996752,0.1805845616706264,0.20563900674902247
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.02,macro_f1,split_id|subject_id|session|day,130,0.5889744349522453,0.5573023425407292,0.6209104057359955
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.05,macro_f1,split_id|subject_id|session|day,130,0.6043706588419525,0.571367912951118,0.6369122189275
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.10,macro_f1,split_id|subject_id|session|day,130,0.6274027446969229,0.5925567675679875,0.6618313962979867
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.15,macro_f1,split_id|subject_id|session|day,130,0.6409500961832444,0.6047344918780664,0.6766500968345872
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.20,macro_f1,split_id|subject_id|session|day,130,0.6502536676788,0.6129771764497075,0.6872683412759165
cemhsey,cemhsey_forward_day_logo,assist_only,macro_f1,split_id|subject_id|session|day,130,0.6435968890058389,0.607139713562186,0.6814622267543481
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.25,macro_f1,split_id|subject_id|session|day,130,0.6334986982831472,0.5973550619529425,0.6690056893895309
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.50,macro_f1,split_id|subject_id|session|day,130,0.6697083812765207,0.6314669378045207,0.7076268160257303
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.75,macro_f1,split_id|subject_id|session|day,130,0.6700943163588275,0.6316728538107403,0.7085933071476495
cemhsey,cemhsey_forward_day_logo,selective_prediction,macro_f1,split_id|subject_id|session|day,130,0.5846630609909339,0.552400463245504,0.617042153768685
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.02,macro_f1,split_id|subject_id|session|day,130,0.588069910342616,0.556733176798679,0.6201914641956277
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.05,macro_f1,split_id|subject_id|session|day,130,0.6026910935074842,0.5697294378044011,0.6351325467000399
