dataset_id,split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,holm_reject_0_05,p_value_rank
cemhsey,cemhsey_forward_day_logo,matched_tau,balanced_accuracy,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.002197802197802196,0.0010073260073260066,0.0035256410256410227,0.0009995002498750624,True,5
cemhsey,cemhsey_forward_day_logo,matched_tau,balanced_accuracy,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0010989010989010998,0.0006410256410256387,0.0016025641025641105,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,balanced_accuracy,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0015109890109890158,0.0006868131868131893,0.002380952380952381,0.0004997501249375312,True,4
cemhsey,cemhsey_forward_day_logo,matched_tau,balanced_accuracy,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.00045787545787545435,9.15750915750889e-05,0.0008699633699633645,0.038980509745127435,False,10
cemhsey,cemhsey_forward_day_logo,matched_tau,balanced_accuracy,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.0006868131868131809,0.00013736263736263175,0.0012820512820512732,0.02848575712143928,False,9
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.005310660578836174,-0.018086795981182697,0.008028039358120872,0.4237881059470265,False,9
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.007419557773416422,-0.011736346372350211,0.02635876404630546,0.45327336331834084,False,10
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.017705774118427154,-0.02960707726880994,-0.005097555925862975,0.005997001499250375,True,7
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.01632604573580113,-0.03519998525208333,0.002258326759588171,0.0814592703648176,False,8
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.029709719639889463,-0.040230436279042554,-0.018474996807675396,0.0004997501249375312,True,2
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.035641698491367425,-0.05039858473558133,-0.020801958728319896,0.0004997501249375312,True,3
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,-0.03303813796092399,-0.04096074971629026,-0.024537922914968695,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,-0.035678453825695004,-0.046347667964342865,-0.02523242288891824,0.0004997501249375312,True,6
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,-0.02802060313586852,-0.034469046835536005,-0.021165472157870985,0.0004997501249375312,True,4
cemhsey,cemhsey_forward_day_logo,matched_tau,ece,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,-0.030916161347494427,-0.038340269549335164,-0.023800925199781293,0.0004997501249375312,True,5
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.0009045246096294028,0.0002453159331150555,0.0015761666749028805,0.0074962518740629685,True,8
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.002003622716320782,0.0010735192252085157,0.0029467056589151577,0.0004997501249375312,True,4
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.001679565334468496,0.0008074645369934767,0.002601940833806189,0.0009995002498750624,True,6
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.0026219231373197493,0.0011817603665277522,0.0039898280622329635,0.0004997501249375312,True,3
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.0018863082030562812,0.001086212485893014,0.0027248534463921005,0.0004997501249375312,True,2
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.002483863068256702,0.0011932997949143773,0.003882221906758632,0.0009995002498750624,True,5
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0012389079149754047,0.0006422159142384506,0.0018648546769478456,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0016177566341894832,0.0006969494148054891,0.0025626694028223038,0.001999000499750125,True,7
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.00044692720850435496,-1.3442889303637875e-05,0.0009354932620390913,0.08245877061469266,False,10
cemhsey,cemhsey_forward_day_logo,matched_tau,macro_f1,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.0006169744953572812,6.776225849773997e-05,0.0012491506716872866,0.037481259370314844,False,9
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,4.641168374463897e-05,3.644321916050548e-05,5.640689824103525e-05,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.00010627725997572291,8.760140570234795e-05,0.0001254133726441957,0.0004997501249375312,True,5
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.00016819930855858922,0.00013466337505126786,0.00020546239569805728,0.0004997501249375312,True,2
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.0004616646251794646,0.0003932342745743908,0.000534334604072925,0.0004997501249375312,True,6
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.0002930297145696846,0.00022915862777517904,0.0003602173454474069,0.0004997501249375312,True,3
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.0006732597584634723,0.0005567746256388541,0.0008004372054455259,0.0004997501249375312,True,7
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.00025987425523022763,0.00018749703531798864,0.00033685140870381563,0.0004997501249375312,True,4
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.00036218816915875763,0.00026128021090322904,0.0004666414818277201,0.0004997501249375312,True,8
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.0001279954834164454,6.239029091781167e-05,0.00020857450233513998,0.0009995002498750624,True,10
cemhsey,cemhsey_forward_day_logo,matched_tau,mean_ali,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.00014187011624538525,7.021641158288146e-05,0.00022398345875343108,0.0004997501249375312,True,9
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.00024830458877455203,-0.00042506625998682453,-7.238727138516235e-05,0.008995502248875561,False,4
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.0009023732418114981,-0.001810783999759315,8.710936875792785e-05,0.05347326336831584,False,5
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.00026580725451537027,-0.0004261473899665743,-9.641066822170936e-05,0.0029985007496251873,True,3
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.0004321947281019146,-0.0012816064046140424,0.000453559227867682,0.39580209895052476,False,6
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.00019520855247799062,-0.0002917004519621076,-0.00010021863887959633,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.00013763577980197578,-0.0009433340891779902,0.0007438459278677927,0.7451274362818591,False,8
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,-0.00010092732810562418,-0.00016490317047986006,-4.3616855079701934e-05,0.0009995002498750624,True,2
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,-1.5186793383627084e-05,-0.0007497233599009979,0.0008477271461637818,0.9675162418790605,False,10
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,-3.1163835082220015e-05,-9.603817380564799e-05,4.678477115000281e-05,0.4382808595702149,False,7
cemhsey,cemhsey_forward_day_logo,matched_tau,risk_coverage_auc,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,6.768960558678056e-05,-0.0006465730784955959,0.0009262239665905586,0.8180909545227386,False,9
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.007605537957551748,0.00523172302578103,0.010024366911154896,0.0009995002498750624,True,2
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.022164292209343447,0.01497135529388537,0.02902390459515084,0.0009995002498750624,True,6
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.024371292815914745,0.016149924299261348,0.032971393065291656,0.0009995002498750624,True,11
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,1,0.0,0.0,0.0,1.0,False,31
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,1,0.0,0.0,0.0,1.0,False,28
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.005319852043273,0.0033332521480782425,0.007348362482216036,0.0009995002498750624,True,17
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.024371292815914745,0.016149924299261348,0.032971393065291656,0.0009995002498750624,True,21
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.01096286677825893,0.008131810947292801,0.01391794203791548,0.0009995002498750624,True,4
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.02506900359171874,0.01819004184050298,0.03199781302693934,0.0009995002498750624,True,7
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.028819237949978618,0.02071085207807494,0.037507311075665156,0.0009995002498750624,True,12
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,1,0.0,0.0,0.0,1.0,False,32
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,1,0.0,0.0,0.0,1.0,False,27
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.012678217183679822,0.009676040088827184,0.015446045124445307,0.0009995002498750624,True,22
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.028819237949978618,0.02071085207807494,0.037507311075665156,0.0009995002498750624,True,20
db10,db10_able_to_amputee,matched_tau,active_macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.008827708746932904,0.006648037261932917,0.011201977044665978,0.0009995002498750624,True,3
