tau,threshold,target_intervention_rate,matched_intervention_rate,intervention_rate_gap
0.02,0.7935225644660925,0.013960019824880225,0.013960019824880225,0.0
0.05,0.6787067394995954,0.03568478440442756,0.03568478440442756,0.0
0.1,0.5637601063211968,0.07426069717495457,0.07426069717495457,0.0
0.15,0.5026025506874977,0.10822732529324303,0.10822732529324303,0.0
0.2,0.46640749632643935,0.13271105237072525,0.13271105237072525,0.0

