split_family,policy,accuracy,macro_f1,active_macro_f1,balanced_accuracy,mean_ali,intervention_rate,risk_coverage_auc,active_risk_coverage_auc,ece,median_decision_time_ms,n,n_active
db10_able_to_amputee,user_only,0.26425396825396824,0.10283476988464342,0.08141828194123199,0.12640981240981242,0.0,0.0,0.8155335445292821,0.8802043354559295,0.1907979695656695,600.0,63000,31500
db10_able_to_amputee,set_acsa_tau_0.02,0.3186825396825397,0.14438189755317601,0.12865197469360948,0.1693968253968254,0.001178887719780111,0.11239682539682541,0.48175819963305094,0.6544964540679074,0.14209153853800888,600.0,63000,31500
db10_able_to_amputee,agency_margin_tau_0.02,0.3442539682539683,0.15425154794286403,0.13625751265116123,0.17778643578643577,0.0016627573389744793,0.16353968253968254,0.4388557428230985,0.647607088751431,0.23091548762578906,600.0,63000,31500
db10_able_to_amputee,set_acsa_tau_0.05,0.36834920634920637,0.23876048581589696,0.26005584576519764,0.27406349206349206,0.0076407732467180635,0.2986507936507936,0.4119999849816009,0.4788006900832373,0.1428923884722723,600.0,63000,31500
db10_able_to_amputee,agency_margin_tau_0.05,0.39022222222222225,0.25160239909304205,0.2710187125434566,0.28284559884559884,0.00877931150009803,0.34763492063492063,0.39530754145145097,0.47473433104201057,0.21478057924579327,600.0,63000,31500
db10_able_to_amputee,plain_conf_threshold_matched_tau_0.02,0.41463492063492063,0.2956657031062584,0.3187409760831621,0.3263492063492064,0.020373933250711372,0.1902063492063492,0.4152430483991713,0.42998725184311726,0.17113318525035817,600.0,63000,31500
db10_able_to_amputee,set_acsa_tau_0.10,0.4342857142857143,0.354761566332468,0.4260592786262043,0.41631168831168824,0.02123665515642969,0.48865079365079367,0.3539548320953959,0.33201757239208385,0.15434106904120087,600.0,63000,31500
db10_able_to_amputee,agency_margin_tau_0.10,0.442984126984127,0.3627872864180137,0.43488698737313725,0.42207503607503605,0.02251450312010956,0.5104761904761904,0.35080259769007227,0.33040404603940815,0.18989560719835102,600.0,63000,31500
db10_able_to_amputee,set_acsa_tau_0.15,0.48228571428571426,0.4295402054844189,0.5282286948651003,0.5034805194805194,0.03360419489822109,0.589111111111111,0.3257346912232532,0.2751191542611457,0.15216842807581166,600.0,63000,31500
db10_able_to_amputee,agency_margin_tau_0.15,0.48673015873015874,0.4335264103227667,0.5325314811828422,0.5062106782106782,0.034686244753544135,0.6001746031746031,0.3249472463917916,0.2746817244866849,0.167024020000312,600.0,63000,31500
db10_able_to_amputee,plain_conf_threshold_matched_tau_0.05,0.5033650793650793,0.41714713349905524,0.48375744344461097,0.4752611832611832,0.03852422494501862,0.37963492063492066,0.3127026613063465,0.28540089112865524,0.16866851458491464,600.0,63000,31500
db10_able_to_amputee,selective_prediction,0.5016243386243386,0.4168241487353786,0.48389435270545916,0.47304858104858105,0.03959467719907864,0.38744973544973543,0.3105942091832563,0.28644948632025613,0.16549845312313993,600.0,189000,94500
db10_able_to_amputee,confidence_blend_alpha_0.25,0.5472063492063491,0.49496946286254195,0.5980735733844793,0.5686089466089467,0.0436482960977969,0.6273650793650793,0.36484544137512304,0.3650534117283191,0.3121233500705104,600.0,63000,31500
