split_family,policy,accuracy,macro_f1,active_macro_f1,balanced_accuracy,mean_ali,intervention_rate,risk_coverage_auc,active_risk_coverage_auc,ece,median_decision_time_ms,n,n_active
cemhsey_forward_day_logo,user_only,0.59010989010989,0.5775596884029975,0.5775596884029975,0.59010989010989,0.0,0.0,0.2580279430978327,0.2580279430978327,0.19256171179967524,12500.0,21840,21840
cemhsey_forward_day_logo,set_acsa_tau_0.02,0.6014652014652014,0.5880699103426159,0.5880699103426159,0.6014652014652014,0.00025666133628907904,0.025137362637362638,0.24180505394770216,0.24180505394770216,0.19806349165553178,12500.0,21840,21840
cemhsey_forward_day_logo,agency_margin_tau_0.02,0.6022893772893774,0.5889744349522453,0.5889744349522453,0.6022893772893774,0.00030307302003371633,0.029853479853479855,0.24155674935892762,0.24155674935892762,0.1927528310766956,12500.0,21840,21840
cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.02,0.5928113553113553,0.5801302649426637,0.5801302649426637,0.5928113553113553,0.00043801205096696084,0.0033882783882783884,0.2566759479069045,0.2566759479069045,0.19171706004037947,12500.0,21840,21840
cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.05,0.5971153846153846,0.5841029523271534,0.5841029523271534,0.5971153846153846,0.001083220498713337,0.009157509157509158,0.25545046279796874,0.25545046279796874,0.19347715552177244,12500.0,21840,21840
cemhsey_forward_day_logo,selective_prediction,0.5976495726495726,0.5846630609909339,0.5846630609909339,0.5976495726495726,0.0011103461863379456,0.00931013431013431,0.2540063642014023,0.2540063642014023,0.19218446015467464,12500.0,65520,65520
cemhsey_forward_day_logo,set_acsa_tau_0.05,0.6164835164835164,0.6026910935074841,0.6026910935074841,0.6164835164835164,0.0015994616902968702,0.06369047619047619,0.23813587214041868,0.23813587214041868,0.20165782487337677,12500.0,21840,21840
cemhsey_forward_day_logo,agency_margin_tau_0.05,0.6178571428571429,0.6043706588419526,0.6043706588419526,0.6178571428571429,0.0017676609988554594,0.07051282051282051,0.2378700648859033,0.2378700648859033,0.18395205075494964,12500.0,21840,21840
cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.10,0.6054029304029304,0.5918140650835464,0.5918140650835464,0.6054029304029304,0.002306532322742839,0.019276556776556777,0.25115629063512435,0.25115629063512435,0.198226584739297,12500.0,21840,21840
cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.15,0.609478021978022,0.595659560238974,0.595659560238974,0.609478021978022,0.0030688821347231296,0.02522893772893773,0.24996359500206822,0.24996359500206822,0.2014423557871243,12500.0,21840,21840
cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.20,0.612087912087912,0.5980864730704868,0.5980864730704868,0.612087912087912,0.003596892343608512,0.028846153846153848,0.24920627020056932,0.24920627020056932,0.20344954036183974,12500.0,21840,21840
cemhsey_forward_day_logo,confidence_blend_alpha_0.25,0.6476648351648352,0.6334986982831471,0.6334986982831471,0.6476648351648352,0.005187302266765235,0.11336996336996337,0.23390533137230976,0.23390533137230976,0.25145296906604575,12500.0,21840,21840
cemhsey_forward_day_logo,set_acsa_tau_0.10,0.640018315018315,0.6255164364938667,0.6255164364938667,0.640018315018315,0.005762834170606889,0.12005494505494506,0.23375519448084495,0.23375519448084495,0.20798533000238903,12500.0,21840,21840
cemhsey_forward_day_logo,agency_margin_tau_0.10,0.6416208791208792,0.6274027446969229,0.6274027446969229,0.6416208791208791,0.006055863885176571,0.12545787545787546,0.23355998592836694,0.23355998592836694,0.1782756103624996,12500.0,21840,21840
cemhsey_forward_day_logo,set_acsa_tau_0.15,0.6547161172161172,0.6397111882682689,0.6397111882682689,0.6547161172161172,0.01033474090035204,0.1570970695970696,0.2316689440015941,0.2316689440015941,0.21353002002831084,12500.0,21840,21840
cemhsey_forward_day_logo,agency_margin_tau_0.15,0.6558150183150183,0.6409500961832444,0.6409500961832444,0.6558150183150183,0.010594615155582271,0.15993589743589745,0.23156801667348847,0.23156801667348847,0.18049188206738684,12500.0,21840,21840
cemhsey_forward_day_logo,set_acsa_tau_0.20,0.6649267399267399,0.6498067404702955,0.6498067404702955,0.6649267399267399,0.01468619816572646,0.18214285714285713,0.23051817336900993,0.23051817336900993,0.21718620408275888,12500.0,21840,21840
cemhsey_forward_day_logo,agency_margin_tau_0.20,0.6653846153846154,0.6502536676787999,0.6502536676787999,0.6653846153846154,0.014814193649142904,0.18305860805860805,0.2304870095339277,0.2304870095339277,0.18916560094689036,12500.0,21840,21840
cemhsey_forward_day_logo,confidence_blend_alpha_0.50,0.6846611721611722,0.6697083812765207,0.6697083812765207,0.6846611721611722,0.018601199823110082,0.21831501831501832,0.22089727255864433,0.22089727255864433,0.28784035255700213,12500.0,21840,21840
cemhsey_forward_day_logo,confidence_blend_alpha_0.75,0.6855311355311355,0.6700943163588275,0.6700943163588275,0.6855311355311355,0.03465047366345934,0.30297619047619045,0.22296910968753508,0.22296910968753508,0.28972389244154,12500.0,21840,21840
cemhsey_forward_day_logo,assist_only,0.659981684981685,0.6435968890058389,0.6435968890058389,0.659981684981685,0.05339264975628224,0.3770604395604396,0.24279321468916024,0.24279321468916024,0.26566742508666197,12500.0,21840,21840

