split_family,policy,accuracy,macro_f1,active_macro_f1,balanced_accuracy,mean_ali,intervention_rate,risk_coverage_auc,active_risk_coverage_auc,ece,median_decision_time_ms,n,n_active
hyser_subject_logo,user_only,0.3520427944507893,0.3250553611607254,0.3250553611607254,0.35099754901960784,0.0,0.0,0.46725360563182416,0.46725360563182416,0.10714334436255397,600.0,40340,40340
hyser_subject_logo,set_acsa_tau_0.02,0.35378558658104237,0.32678591726375705,0.32678591726375705,0.3527279411764706,0.0001008125663012445,0.009785546982411996,0.4582625751783772,0.4582625751783772,0.11288219898866644,600.0,40340,40340
hyser_subject_logo,agency_margin_tau_0.02,0.3540845231651815,0.32714593240626355,0.32714593240626355,0.35302205882352944,0.0001224735526014822,0.01176705768109068,0.45813486386515356,0.45813486386515356,0.14946449424606598,600.0,40340,40340
hyser_subject_logo,set_acsa_tau_0.05,0.35665468055498234,0.32958630516504117,0.32958630516504117,0.355593137254902,0.000685991447324524,0.026163740244336625,0.45658995197425706,0.45658995197425706,0.11193238961652345,600.0,40340,40340
hyser_subject_logo,plain_conf_threshold_matched_tau_0.02,0.3537267900471013,0.32670958950543516,0.32670958950543516,0.3527083333333333,0.0007342024608921729,0.0029437410929135585,0.46240412292523086,0.46240412292523086,0.10786558608369487,600.0,40340,40340
hyser_subject_logo,agency_margin_tau_0.05,0.35732232096419175,0.3302474729988192,0.3302474729988192,0.3562549019607843,0.0007791123847097523,0.029729863741278544,0.45642811870923705,0.45642811870923705,0.14793680022195266,600.0,40340,40340
hyser_subject_logo,selective_prediction,0.35535434879911565,0.3285077614937895,0.3285077614937895,0.35433741830065363,0.0017551054825308908,0.008151653469927059,0.4598581544183272,0.4598581544183272,0.10758419361243432,600.0,121020,121020
hyser_subject_logo,plain_conf_threshold_matched_tau_0.05,0.35610843057126745,0.32937597109307465,0.32937597109307465,0.3551299019607843,0.0027168091360076866,0.009875698833328514,0.4584220174853234,0.4584220174853234,0.10734860390442943,600.0,40340,40340
hyser_subject_logo,set_acsa_tau_0.10,0.36110348577521545,0.33375348854346354,0.33375348854346354,0.3599705882352941,0.003185269218169879,0.05926934511065215,0.45398265201907406,0.45398265201907406,0.11063014940963309,600.0,40340,40340
hyser_subject_logo,agency_margin_tau_0.10,0.36196617197721825,0.3345784975504316,0.3345784975504316,0.36082843137254905,0.003379200770551661,0.06276505123064333,0.4538516581879416,0.4538516581879416,0.14302256278093023,600.0,40340,40340
