dataset_id,split_family,policy,safe_episode_rate,stable_safe_episode_rate,final_correct_rate,median_earliest_intervene_s,median_earliest_correct_s,median_earliest_safe_s,median_earliest_stable_safe_s
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.02,0.06355311355311355,0.045054945054945054,0.373992673992674,16.28,5.076923076923077,16.51260504201681,18.990825688073393
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.05,0.1445054945054945,0.10750915750915752,0.421978021978022,16.75,5.0576923076923075,17.096153846153847,19.37007874015748
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.10,0.25164835164835164,0.20732600732600734,0.502014652014652,17.615384615384617,5.0576923076923075,17.846153846153847,19.476744186046513
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.15,0.31446886446886446,0.2705128205128205,0.553113553113553,18.0,5.0576923076923075,18.442307692307693,19.8062015503876
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.20,0.3573260073260073,0.317948717948718,0.5935897435897436,18.28846153846154,5.0576923076923075,18.78846153846154,19.807692307692307
cemhsey,cemhsey_forward_day_logo,assist_only,0.5076923076923077,0.4357142857142857,0.6639194139194139,12.903846153846153,5.038461538461538,17.326923076923077,19.115384615384617
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.25,0.2571428571428572,0.2152014652014652,0.5208791208791208,17.942307692307693,5.076923076923077,18.03846153846154,19.653846153846153
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.50,0.42106227106227107,0.373992673992674,0.6523809523809524,17.73076923076923,5.0,18.365384615384617,19.576923076923077
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.75,0.48223443223443224,0.42710622710622714,0.6717948717948717,15.692307692307692,5.019230769230769,17.673076923076923,19.096153846153847
cemhsey,cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.02,0.0009157509157509158,0.0009157509157509158,0.34926739926739925,19.1875,5.096153846153846,20.0,20.0
cemhsey,cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.05,0.008424908424908424,0.008241758241758242,0.3655677655677656,18.977272727272727,5.096153846153846,19.464285714285715,19.62962962962963
cemhsey,cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.10,0.03241758241758242,0.030952380952380953,0.3952380952380952,18.75,5.096153846153846,19.057377049180328,19.208333333333332
cemhsey,cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.15,0.05567765567765568,0.05366300366300367,0.41007326007326006,18.53960396039604,5.115384615384615,19.136904761904763,19.27710843373494
cemhsey,cemhsey_forward_day_logo,plain_conf_threshold_matched_tau_0.20,0.07307692307692308,0.0706959706959707,0.4186813186813187,18.41346153846154,5.115384615384615,19.45054945054945,19.587912087912088
cemhsey,cemhsey_forward_day_logo,selective_prediction,0.06684981684981685,0.004761904761904762,0.3432234432234432,18.831521739130434,5.096153846153846,19.57831325301205,19.605263157894736
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.02,0.058424908424908426,0.04047619047619048,0.3706959706959707,15.72,5.096153846153846,16.44396551724138,18.798076923076923
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.05,0.13754578754578753,0.10036630036630037,0.41611721611721614,16.26923076923077,5.076923076923077,16.923076923076923,19.212598425196852
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.10,0.2446886446886447,0.1998168498168498,0.49578754578754575,17.365384615384617,5.0576923076923075,17.692307692307693,19.45736434108527
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.15,0.31025641025641026,0.26593406593406593,0.549084249084249,17.96153846153846,5.0576923076923075,18.384615384615383,19.8062015503876
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.20,0.3556776556776557,0.3159340659340659,0.591941391941392,18.25,5.0576923076923075,18.78846153846154,19.76923076923077
cemhsey,cemhsey_forward_day_logo,user_only,0.0,0.0,0.3388278388278388,,5.096153846153846,,

