dataset_id,split_family,scope,tau,confidence_primary_metric_count,confidence_primary_sig_beneficial_count,confidence_all_primary_metrics_sig_beneficial,confidence_harmful_sig_metric_count,safety_metric_count,safety_sig_beneficial_count,safety_harmful_sig_metric_count,confidence_mean_abs_intervention_rate_gap,confidence_exact_match_fraction,earliest_mean_abs_intervention_rate_gap,earliest_exact_match_fraction
db10,db10_able_to_amputee,required,0.02,2,0,False,2,2,1,1,0.0019682539682539,0.0666666666666666,0.0019682539682539,0.0666666666666666
db10,db10_able_to_amputee,required,0.05,2,0,False,2,2,1,1,0.001079365079365,0.1333333333333333,0.001079365079365,0.1333333333333333
db10,db10_able_to_amputee,required,0.10,2,0,False,2,2,0,1,0.0009841269841269,0.1333333333333333,0.0009841269841269,0.1333333333333333
db10,db10_able_to_amputee,required,0.15,2,0,False,2,2,0,2,0.001015873015873,0.1333333333333333,0.001015873015873,0.1333333333333333
db10,db10_able_to_amputee,required,0.20,2,0,False,2,2,0,2,0.0011587301587301,0.0666666666666666,0.0011587301587301,0.0666666666666666
db10,db10_amputee_loso,required,0.02,2,0,False,2,2,1,1,0.0013809523809523,0.1333333333333333,0.0013809523809523,0.1333333333333333
db10,db10_amputee_loso,required,0.05,2,0,False,2,2,0,1,0.0013650793650793,0.0,0.0013650793650793,0.0
db10,db10_amputee_loso,required,0.10,2,0,False,2,3,0,2,0.0031428571428571,0.0,0.0031428571428571,0.0
db10,db10_amputee_loso,required,0.15,2,0,False,2,3,0,2,0.001,0.2,0.001,0.20000000000000004
db10,db10_amputee_loso,required,0.20,2,0,False,2,3,0,1,0.0012539682539682,0.2666666666666666,0.0012539682539682,0.2666666666666666
db10,db10_mixed_to_amputee,required,0.02,2,0,False,2,2,1,1,0.0012539682539682,0.1333333333333333,0.0012539682539682,0.1333333333333333
db10,db10_mixed_to_amputee,required,0.05,2,0,False,2,2,0,1,0.0015079365079364,0.0666666666666666,0.0015079365079364,0.0666666666666666
db10,db10_mixed_to_amputee,required,0.10,2,0,False,2,2,0,2,0.0044761904761904,0.0,0.0044761904761904,0.0
db10,db10_mixed_to_amputee,required,0.15,2,0,False,2,3,0,1,0.0027777777777777,0.1333333333333333,0.0027777777777777,0.1333333333333333
db10,db10_mixed_to_amputee,required,0.20,2,0,False,2,3,0,2,0.0017301587301587,0.2666666666666666,0.0017301587301587,0.2666666666666666
hyser,hyser_subject_logo,required,0.02,2,1,False,0,2,1,0,0.0006448018945772,0.475,0.0006448018945772,0.475
hyser,hyser_subject_logo,required,0.05,2,0,False,0,2,1,0,0.0008202245356963,0.4,0.0008202245356963,0.4
hyser,hyser_subject_logo,required,0.10,2,1,False,0,2,1,0,0.0008697340174679,0.4,0.0008697340174679,0.4
hyser,hyser_subject_logo,required,0.15,2,1,False,0,3,1,0,0.0009686157012131,0.3,0.0009686157012131,0.3
hyser,hyser_subject_logo,required,0.20,2,1,False,0,3,1,0,0.0009648573661643,0.35,0.0009648573661643001,0.3499999999999999
hyser,hyser_within_subject_dayshift,required,0.02,2,0,False,0,2,1,0,0.0007416995430492,0.35,0.0007416995430492,0.35
hyser,hyser_within_subject_dayshift,required,0.05,2,0,False,0,2,1,0,0.0008922371040642,0.35,0.0008922371040642,0.35
hyser,hyser_within_subject_dayshift,required,0.10,2,0,False,0,2,1,0,0.0006919160509534,0.45,0.0006919160509534,0.45
hyser,hyser_within_subject_dayshift,required,0.15,2,1,False,0,2,1,0,0.0008939467413085,0.3,0.0008939467413085,0.3
hyser,hyser_within_subject_dayshift,required,0.20,2,2,True,0,2,0,0,0.0008914040142772,0.35,0.0008914040142772,0.35
cemhsey,cemhsey_forward_day_logo,required,0.02,2,1,False,0,2,1,1,0.000595238095238,0.9,0.000595238095238,0.9
cemhsey,cemhsey_forward_day_logo,required,0.05,2,1,False,1,2,1,1,0.0011446886446886,0.8153846153846154,0.0011446886446886,0.8153846153846154
cemhsey,cemhsey_forward_day_logo,required,0.10,2,1,False,0,2,1,1,0.001007326007326,0.8307692307692308,0.001007326007326,0.8307692307692308
cemhsey,cemhsey_forward_day_logo,required,0.15,2,1,False,0,2,1,0,0.0015567765567765,0.7461538461538462,0.0015567765567765,0.7461538461538462
cemhsey,cemhsey_forward_day_logo,required,0.20,2,2,True,0,2,2,0,0.0014194139194139,0.7615384615384615,0.0014194139194139,0.7615384615384615
