split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_able_to_amputee,agency_vs_set_acsa,intervention_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.048984126984126984,0.03763253968253968,0.060397619047619054,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_set_acsa,intervention_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.021825396825396807,0.01633333333333331,0.02733373015873015,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_set_acsa,intervention_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.011063492063492072,0.007665079365079353,0.014667857142857163,0.0009995002498750624,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_set_acsa,intervention_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.00471428571428573,0.002730158730158753,0.00715912698412701,0.0009995002498750624,True,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_plain_conf,active_macro_f1,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,-0.1824834634320009,-0.2333347593162417,-0.13113604359825448,0.0009995002498750624,False,3,5,0.016666666666666666,True,False
db10_able_to_amputee,agency_vs_plain_conf,active_macro_f1,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,-0.21273873090115444,-0.2665480163240808,-0.1570693462275962,0.0004997501249375312,False,1,5,0.01,True,False
db10_able_to_amputee,agency_vs_plain_conf,active_macro_f1,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,-0.14082785940741266,-0.18531060044197678,-0.0965669798813719,0.0004997501249375312,False,2,5,0.0125,True,False
db10_able_to_amputee,agency_vs_plain_conf,active_macro_f1,agency_margin_tau_0.15,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,15,-0.08154841218529005,-0.12229896600079407,-0.04519820603297644,0.0014992503748125937,False,4,5,0.025,True,False
db10_able_to_amputee,agency_vs_plain_conf,active_macro_f1,agency_margin_tau_0.20,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,15,-0.03584385769107821,-0.07493158303268005,-0.00464760041455051,0.07196401799100449,False,5,5,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf,active_risk_coverage_auc,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,0.21761983690831374,0.1558527455608492,0.2770701225517719,0.0009995002498750624,False,2,5,0.0125,True,False
