dataset_id,split_id,policy,subject_id,session,day,accuracy,balanced_accuracy,macro_f1,active_macro_f1,brier,nll,ece,risk_coverage_auc,active_risk_coverage_auc,intervention_rate,action_change_rate,mean_ali,median_decision_time_ms,n,n_active,split_family
cemhsey,cemhsey_forward_day_logo|D02,user_only,S1,grasp_protocol,D02,0.4880952380952381,0.48809523809523814,0.4600802682940238,0.4600802682940238,0.6511787451273124,1.2933724060108736,0.1114958284512615,0.39073529664208867,0.39073529664208867,0.0,0.0,0.0,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,assist_only,S1,grasp_protocol,D02,0.5714285714285714,0.5714285714285714,0.5617974949156167,0.5617974949156167,0.6207916442949595,1.1509755886984696,0.21160236096572646,0.5063311839475285,0.5063311839475285,0.40476190476190477,0.40476190476190477,0.06576967845220455,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,confidence_blend_alpha_0.25,S1,grasp_protocol,D02,0.5238095238095238,0.5238095238095238,0.4920731758365179,0.4920731758365179,0.6282120617497453,1.2234344296443227,0.13907414264724455,0.3793441731808738,0.3793441731808738,0.11904761904761904,0.11904761904761904,0.007394458579389894,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,confidence_blend_alpha_0.50,S1,grasp_protocol,D02,0.5535714285714286,0.5535714285714286,0.5183306241825463,0.5183306241825463,0.6154919838184899,1.1833540464931407,0.17121284407086573,0.39569583422177346,0.39569583422177346,0.24404761904761904,0.24404761904761904,0.029350825418841358,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,confidence_blend_alpha_0.75,S1,grasp_protocol,D02,0.5773809523809523,0.5773809523809523,0.5553662475091047,0.5553662475091047,0.6130185113335609,1.1602828715786082,0.1951252289140125,0.4478184345506101,0.4478184345506101,0.34523809523809523,0.34523809523809523,0.05598636960543201,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,selective_prediction,S1,grasp_protocol,D02,0.48412698412698413,0.48412698412698413,0.45472703789479085,0.45472703789479085,0.658512586880857,1.2957143490761123,0.10472975098872787,0.43073435528633663,0.43073435528633663,0.011904761904761904,0.011904761904761904,0.0017636293330215718,12500.0,504,504,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,set_acsa_tau_0.02,S1,grasp_protocol,D02,0.4880952380952381,0.4880952380952381,0.46056732565949154,0.46056732565949154,0.6454085379159272,1.2649556926608359,0.09314664191068858,0.42282165365272445,0.42282165365272445,0.017857142857142856,0.017857142857142856,0.00012523838260138483,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,agency_margin_tau_0.02,S1,grasp_protocol,D02,0.4880952380952381,0.4880952380952381,0.46056732565949154,0.46056732565949154,0.7240005072362589,4.978873102307974,0.21100048560931728,0.4230703753717321,0.4230703753717321,0.017857142857142856,0.017857142857142856,0.00012523838260138483,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,set_acsa_tau_0.05,S1,grasp_protocol,D02,0.49404761904761907,0.494047619047619,0.46887667498819896,0.46887667498819896,0.6448097169708258,1.2614596954813209,0.09419158715698417,0.4292268092152736,0.4292268092152736,0.041666666666666664,0.041666666666666664,0.0010638993463437287,12500.0,168,168,cemhsey_forward_day_logo
cemhsey,cemhsey_forward_day_logo|D02,agency_margin_tau_0.05,S1,grasp_protocol,D02,0.49404761904761907,0.494047619047619,0.46977524160005474,0.46977524160005474,0.7172652576266142,5.124714310585275,0.19207020859307433,0.42962812314626336,0.42962812314626336,0.047619047619047616,0.047619047619047616,0.0012173592376520808,12500.0,168,168,cemhsey_forward_day_logo
