dataset_id,split_family,policy,safe_episode_rate,stable_safe_episode_rate,final_correct_rate,median_earliest_intervene_s,median_earliest_correct_s,median_earliest_safe_s,median_earliest_stable_safe_s
db10,db10_able_to_amputee,agency_margin_tau_0.02,0.3223809523809524,0.185,0.3686507936507937,0.4142857142857143,0.26666666666666666,0.4857142857142857,0.7000000000000001
db10,db10_able_to_amputee,agency_margin_tau_0.05,0.466984126984127,0.2787301587301588,0.40515873015873016,0.27142857142857146,0.25333333333333335,0.38571428571428573,0.6285714285714287
db10,db10_able_to_amputee,agency_margin_tau_0.10,0.5411904761904761,0.3655555555555556,0.44896825396825396,0.2,0.2,0.24285714285714288,0.42857142857142855
db10,db10_able_to_amputee,agency_margin_tau_0.15,0.5768253968253968,0.41857142857142854,0.489047619047619,0.2,0.2,0.2,0.3285714285714286
db10,db10_able_to_amputee,agency_margin_tau_0.20,0.5926984126984127,0.4590476190476191,0.5238095238095238,0.22666666666666666,0.2,0.22000000000000003,0.24285714285714288
db10,db10_able_to_amputee,assist_only,0.6443650793650794,0.5593650793650794,0.6163492063492063,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,confidence_blend_alpha_0.25,0.595952380952381,0.4805555555555555,0.5578571428571429,0.23333333333333334,0.2,0.22666666666666666,0.24285714285714288
db10,db10_able_to_amputee,confidence_blend_alpha_0.50,0.6428571428571428,0.5425396825396825,0.6072222222222222,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,confidence_blend_alpha_0.75,0.6451587301587302,0.5588095238095239,0.6181746031746032,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,plain_conf_threshold_matched_tau_0.02,0.09793650793650795,0.08182539682539683,0.4293650793650794,0.24000000000000002,0.21333333333333335,0.5428571428571428,0.6307692307692307
db10,db10_able_to_amputee,plain_conf_threshold_matched_tau_0.05,0.266984126984127,0.23111111111111113,0.5175396825396825,0.2,0.21333333333333335,0.4,0.4428571428571429
db10,db10_able_to_amputee,plain_conf_threshold_matched_tau_0.10,0.4217460317460317,0.3707142857142857,0.562063492063492,0.2,0.2,0.2285714285714286,0.2857142857142857
db10,db10_able_to_amputee,plain_conf_threshold_matched_tau_0.15,0.5020634920634921,0.4392063492063492,0.5794444444444444,0.2,0.2,0.21428571428571427,0.21428571428571427
db10,db10_able_to_amputee,plain_conf_threshold_matched_tau_0.20,0.5354761904761904,0.465952380952381,0.5846825396825397,0.2,0.2,0.22666666666666666,0.22666666666666666
db10,db10_able_to_amputee,selective_prediction,0.5048412698412699,0.2656349206349206,0.47071428571428575,0.2,0.2,0.2,0.28
db10,db10_able_to_amputee,set_acsa_tau_0.02,0.23626984126984127,0.13277777777777777,0.3445238095238095,0.4571428571428572,0.29333333333333333,0.5142857142857143,0.75
db10,db10_able_to_amputee,set_acsa_tau_0.05,0.4015873015873016,0.24436507936507937,0.3848412698412699,0.3,0.24000000000000002,0.38571428571428573,0.6285714285714287
