tau,threshold,target_intervention_rate,matched_intervention_rate,intervention_rate_gap
0.02,0.8561144602173256,0.18361904761904763,0.18361904761904763,0.0
0.05,0.7092269107183097,0.39784126984126983,0.39784126984126983,0.0
0.1,0.5795313702044106,0.5982275132275132,0.5982275132275132,0.0
0.15,0.5140426285157321,0.7063544973544974,0.7063544973544974,0.0
0.2,0.4918440279792979,0.7456084656084656,0.7456084656084656,0.0

