split_family,comparison_family,metric,tau,policy_a,policy_b,policy_b_same_tau,unit_cols,n_units,n_units_total,n_units_missing_metric,n_extrapolated_units,n_supported_units,extrapolated_fraction,mean_abs_raw_intervention_rate_gap,max_abs_raw_intervention_rate_gap,mean_nearest_curve_budget_gap,max_nearest_curve_budget_gap,mean_curve_metric_point_count,n_singleton_curve_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
hyser_subject_logo,agency_vs_plain_conf_iso_budget,mean_ali,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,17,40,23,23,17,0.575,0.038873102635881326,0.09313725490196079,0.018093421744889072,0.07254901960784313,4.9,0,-0.015138897535988198,-0.017211996066490272,-0.013121984195302229,0.0004997501249375312,True,3,3,0.05,True,True
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,active_macro_f1,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,13,20,7,7,13,0.35,0.0180178867163809,0.03235294117647059,0.004054818908488656,0.0187192118226601,4.55,0,0.001539949123049043,-0.001286056070423178,0.004268233789679103,0.29985007496251875,True,1,2,0.025,False,False
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,active_macro_f1,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,1,20,19,19,1,0.95,0.04585833457671144,0.07745098039215687,0.02651700312612179,0.05392156862745098,4.55,0,-0.007147781722840751,-0.007147781722840751,-0.007147781722840751,1.0,False,2,2,0.05,False,False
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,13,20,7,7,13,0.35,0.0180178867163809,0.03235294117647059,0.004054818908488656,0.0187192118226601,4.55,0,-0.008070337971193926,-0.014362493957835546,-0.0008005491925518281,0.047976011994003,True,1,2,0.025,False,False
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,1,20,19,19,1,0.95,0.04585833457671144,0.07745098039215687,0.02651700312612179,0.05392156862745098,4.55,0,-0.0026759111867829533,-0.0026759111867829533,-0.0026759111867829533,1.0,True,2,2,0.05,False,False
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,ece,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,13,20,7,7,13,0.35,0.0180178867163809,0.03235294117647059,0.004054818908488656,0.0187192118226601,4.55,0,0.009269258065341276,-0.011430778221675453,0.02953635208190086,0.42478760619690153,False,1,2,0.025,False,False
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,ece,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,1,20,19,19,1,0.95,0.04585833457671144,0.07745098039215687,0.02651700312612179,0.05392156862745098,4.55,0,0.03084774822072539,0.03084774822072539,0.03084774822072539,1.0,False,2,2,0.05,False,False
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,mean_ali,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,13,20,7,7,13,0.35,0.0180178867163809,0.03235294117647059,0.004054818908488656,0.0187192118226601,4.55,0,-0.002284764564204184,-0.002610941478586366,-0.001923007643277643,0.0004997501249375312,True,1,2,0.025,True,True
hyser_within_subject_dayshift,agency_vs_plain_conf_iso_budget,mean_ali,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,1,20,19,19,1,0.95,0.04585833457671144,0.07745098039215687,0.02651700312612179,0.05392156862745098,4.55,0,-0.0076045727661300435,-0.0076045727661300435,-0.0076045727661300435,1.0,True,2,2,0.05,False,False

