dataset_id,split_family,policy,safe_episode_rate,stable_safe_episode_rate,final_correct_rate,median_earliest_intervene_s,median_earliest_correct_s,median_earliest_safe_s,median_earliest_stable_safe_s
hyser,hyser_subject_logo,agency_margin_tau_0.02,0.01787558557080688,0.009061663479495902,0.43987929895100236,0.5375,0.46749999999999997,0.6578947368421053,0.8064516129032258
hyser,hyser_subject_logo,agency_margin_tau_0.05,0.043727357415678014,0.022297092847506778,0.44234551332994865,0.5075000000000001,0.465,0.6125,0.8
hyser,hyser_subject_logo,agency_margin_tau_0.10,0.08322913136223979,0.044478761143451465,0.4489078401652584,0.47000000000000003,0.4575,0.6275000000000001,0.8
hyser,hyser_subject_logo,agency_margin_tau_0.15,0.11221516518544328,0.0625516374050317,0.4542339076161479,0.44750000000000006,0.45,0.5875,0.78
hyser,hyser_subject_logo,agency_margin_tau_0.20,0.1326570258474749,0.07504712061440058,0.45879084156916194,0.45,0.4575,0.575,0.7575000000000001
hyser,hyser_subject_logo,assist_only,0.36323755132358554,0.21839787494410112,0.3914491053098171,0.2,0.4325,0.44000000000000006,0.61
hyser,hyser_subject_logo,confidence_blend_alpha_0.25,0.11271956717712543,0.06701192571636791,0.45472604795497124,0.5349999999999999,0.445,0.6599999999999999,0.7825
hyser,hyser_subject_logo,confidence_blend_alpha_0.50,0.2320728754417543,0.1501730593806018,0.4770725854171512,0.38,0.44000000000000006,0.5399999999999999,0.6925
hyser,hyser_subject_logo,confidence_blend_alpha_0.75,0.32893934842053835,0.21348302360128862,0.4604917288775579,0.20500000000000002,0.425,0.46749999999999997,0.6075
hyser,hyser_subject_logo,plain_conf_threshold_matched_tau_0.02,0.0008694959205256794,0.0007451178110729431,0.44111475369089925,0.8153846153846154,0.46749999999999997,0.875,0.9
hyser,hyser_subject_logo,plain_conf_threshold_matched_tau_0.05,0.004339307294907549,0.0034709365127357948,0.44655079321977614,0.7783783783783784,0.46749999999999997,0.7777777777777778,0.8466666666666666
hyser,hyser_subject_logo,plain_conf_threshold_matched_tau_0.10,0.01624164676033082,0.013763994875476832,0.45068056285658853,0.7350000000000001,0.45999999999999996,0.788235294117647,0.8419354838709678
hyser,hyser_subject_logo,plain_conf_threshold_matched_tau_0.15,0.02945578814291045,0.02414290224633612,0.4517888059084223,0.7225,0.45999999999999996,0.745945945945946,0.8111111111111111
hyser,hyser_subject_logo,plain_conf_threshold_matched_tau_0.20,0.04528915249814312,0.0372460554767728,0.45438613731801053,0.6975,0.45999999999999996,0.7350000000000001,0.7868421052631579
hyser,hyser_subject_logo,selective_prediction,0.032186197572038194,0.006937336711543766,0.44098977795803185,0.74,0.4625,0.7657142857142857,0.89
hyser,hyser_subject_logo,set_acsa_tau_0.02,0.01576328601575257,0.008313380224228496,0.4397536087543326,0.55,0.465,0.6621621621621622,0.803448275862069
hyser,hyser_subject_logo,set_acsa_tau_0.05,0.04001533673073408,0.020568528120216333,0.4416052489453949,0.5125,0.4625,0.6325000000000001,0.7923076923076924
hyser,hyser_subject_logo,set_acsa_tau_0.10,0.07878304195974194,0.042010042805657746,0.4479287600956126,0.4625,0.45499999999999996,0.625,0.805
hyser,hyser_subject_logo,set_acsa_tau_0.15,0.11011016064885522,0.06069355999750422,0.45362047667641814,0.4425,0.45,0.5875,0.7825
hyser,hyser_subject_logo,set_acsa_tau_0.20,0.13190996646114864,0.07430189031791919,0.4584218929354328,0.45,0.4575,0.5675,0.7625
hyser,hyser_subject_logo,user_only,0.0,0.0,0.4370144604399683,,0.46749999999999997,,
hyser,hyser_within_subject_dayshift,agency_margin_tau_0.02,0.03860225228415392,0.020801498097153946,0.5077619000971108,0.5349999999999999,0.42000000000000004,0.625,0.7315789473684211
hyser,hyser_within_subject_dayshift,agency_margin_tau_0.05,0.09059650488148054,0.0514859105024183,0.5193816177975589,0.515,0.42000000000000004,0.67,0.8450000000000001
hyser,hyser_within_subject_dayshift,agency_margin_tau_0.10,0.156664118357493,0.09359229848214354,0.5374510252702811,0.47000000000000003,0.42000000000000004,0.665,0.8
hyser,hyser_within_subject_dayshift,agency_margin_tau_0.15,0.18984809834901434,0.11686056835703015,0.549290353251114,0.41500000000000004,0.42000000000000004,0.595,0.77
hyser,hyser_within_subject_dayshift,agency_margin_tau_0.20,0.20640624996830298,0.1328996999001117,0.5581948871477144,0.43,0.42000000000000004,0.595,0.75
hyser,hyser_within_subject_dayshift,assist_only,0.42305596152072694,0.2796301610223152,0.5158248673513229,0.2,0.43,0.45,0.62
hyser,hyser_within_subject_dayshift,confidence_blend_alpha_0.25,0.15571247684568523,0.09555794690627831,0.5362223558499041,0.49000000000000005,0.42000000000000004,0.635,0.7300000000000001
hyser,hyser_within_subject_dayshift,confidence_blend_alpha_0.50,0.2911767066665451,0.19885585151486057,0.5780340289968958,0.36,0.42000000000000004,0.5549999999999999,0.73
hyser,hyser_within_subject_dayshift,confidence_blend_alpha_0.75,0.3874270156112362,0.27045432229304633,0.5759936722423772,0.2,0.41000000000000003,0.47000000000000003,0.645
hyser,hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.02,0.000493854258121159,0.000493854258121159,0.5013523455055687,0.8,0.42000000000000004,0.8,0.8
hyser,hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.05,0.0027094555967747697,0.0024643575575590835,0.501572523722138,0.8142857142857143,0.42000000000000004,0.7625,0.775
hyser,hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.10,0.011849268693067997,0.009628604334046683,0.504546874210723,0.7578947368421053,0.42000000000000004,0.7833333333333333,0.8083333333333332
hyser,hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.15,0.02302835583307403,0.01905102354854267,0.5089869711019236,0.7150000000000001,0.42000000000000004,0.7625000000000001,0.7937500000000001
hyser,hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.20,0.03840459845238983,0.02921963861657307,0.5141834507398919,0.7150000000000001,0.42000000000000004,0.7055555555555556,0.8
hyser,hyser_within_subject_dayshift,selective_prediction,0.010879987687519506,0.0009901352295018791,0.5013523455055687,0.7473684210526317,0.42000000000000004,0.7666666666666667,0.8
hyser,hyser_within_subject_dayshift,set_acsa_tau_0.02,0.03514497390266383,0.019553724207115607,0.507754398409231,0.5599999999999999,0.42000000000000004,0.63,0.7315789473684211
hyser,hyser_within_subject_dayshift,set_acsa_tau_0.05,0.08368956269211011,0.04827259926477935,0.518642629098631,0.515,0.42000000000000004,0.67,0.835
hyser,hyser_within_subject_dayshift,set_acsa_tau_0.10,0.15196776319909538,0.09110923047445815,0.5367021201244664,0.45999999999999996,0.42000000000000004,0.65,0.805
hyser,hyser_within_subject_dayshift,set_acsa_tau_0.15,0.18761264002966038,0.11536279446699182,0.5485402407257957,0.41500000000000004,0.42000000000000004,0.6,0.765
hyser,hyser_within_subject_dayshift,set_acsa_tau_0.20,0.20640624996830298,0.1328996999001117,0.5581948871477144,0.43,0.42000000000000004,0.595,0.7550000000000001
hyser,hyser_within_subject_dayshift,user_only,0.0,0.0,0.5011035892866633,,0.42000000000000004,,

